&100&1000&10000&100000&1000000
Selection Sort&0,828763000754407&43,1438279993017&4172,7388700001&470443,839492&0
Bubble Sort&0,0120800013974076&0,100581999504357&1,01361599990923&10,5103269997926&109,758738999517
Insertion Sort&0,0162300002557458&0,193142999705742&1,90745999861974&19,7829600001569&0
Merge Sort&0,251543999183923&3,69840700113855&46,2913279989152&579,6284930002&6588,4162600014
Quick Sort&0,15911300033622&2,47934800063376&30,7803769992461&377,901953999753&4383,38679200024
Heap Sort&0,244333999944502&4,09206299991638&54,3672320000042&706,491054999788&8623,11248799961
Troca&&&&&
&100&1000&10000&100000&1000000
Selection Sort&100&1000&10000&100000&0
Bubble Sort&0&0&0&0&0
Insertion Sort&99&999&9999&99999&0
Merge Sort&1344&19952&267232&3337856&39902848
Quick Sort&338&6048&90006&1077163&12696514
Heap Sort&640&9708&131956&1650854&19787792
Compara&&&&&
&100&1000&10000&100000&1000000
Selection Sort&4950&499500&49995000&4999950000&0
Bubble Sort&99&999&9999&99999&999999
Insertion Sort&99&999&9999&99999&0
Merge Sort&356&5044&69008&853904&10066432
Quick Sort&631&11533&154464&1961334&24154116
Heap Sort&2070&30624&410868&5102562&60863376
