&100&1000&10000&100000&1000000
Selection Sort&0,777995999669656&51,3739479993092&4230,72270299963&466339,944427&0
Bubble Sort&1,10039300125209&109,23602100047&11628,6631879993&1262643,536013&0
Insertion Sort&0,796706999608432&85,3959190008027&8906,60381000089&967562,251347997&0
Merge Sort&0,241663999986486&3,52339200071583&47,4825310011511&529,321394998988&6321,29022500158
Quick Sort&0,202033999812556&2,56971300041187&31,4111420011613&391,416435999417&4466,24567399704
Heap Sort&0,197293999008252&3,45335100064403&49,2293269999209&612,529714999255&7826,21756099979
&&&&&
troca&&&&&
&100&1000&10000&100000&1000000
Selection Sort&100&1000&10000&100000&0
Bubble Sort&4950&499500&49995000&4999950000&0
Insertion Sort&5049&500499&50004999&5000049999&0
Merge Sort&1344&19952&267232&3337856&39902848
Quick Sort&399&6919&83026&1086300&12987780
Heap Sort&516&8316&116696&1497434&18333408
&&&&&
&&&&&
comp&&&&&
&100&1000&10000&100000&1000000
Selection Sort&4950&499500&49995000&4999950000&0
Bubble Sort&4950&499500&49995000&4999950000&0
Insertion Sort&5049&500499&50004999&5000049999&0
Merge Sort&316&4932&64608&815024&9884992
Quick Sort&771&11480&153439&2075139&24619443
Heap Sort&1698&26448&365088&4642302&56500224
