&100&1000&10000&100000&1000000
Selection Sort&1,03129100170918&55,8352499792818&4919,20383300749&501609,11804199&0
Bubble Sort&1,94937500054948&91,6248330031522&9784,75616700598&998318,718708004&0
Insertion Sort&1,22279199422337&47,9987910075579&4828,53112497833&501961,331291997&0
Merge Sort&0,663249986246228&4,54829199588858&57,4587080045603&704,54362500459&8382,40274999407
Quick Sort&0,408374995458871&2,87875000503846&34,2705000075512&399,84291701694&4921,12174999784
Heap Sort&0,481333001516759&4,32900001760572&55,9219170245342&740,433832979761&9425,97000001115
&&&&&
Compara&&&&&
&100&1000&10000&100000&1000000
Selection Sort&4950&499500&49995000&4999950000&0
Bubble Sort&4872&496872&49963875&4999725885&0
Insertion Sort&2764&251389&24953709&2504000119&0
Merge Sort&538&8731&120398&1536379&18673672
Quick Sort&693&12090&160011&2036006&24687733
Heap Sort&1881&28764&387564&4874100&58647897
&&&&&
&&&&&
troca&&&&&
&100&1000&10000&100000&1000000
Selection Sort&100&1000&10000&100000&0
Bubble Sort&2665&250390&24943710&2503900120&0
Insertion Sort&2764&251389&24953709&2504000119&0
Merge Sort&1344&19952&267232&3337856&39902848
Quick Sort&351&7092&83817&969381&12484699
Heap Sort&577&9088&124188&1574700&19049299
